num	lesson	student	skill	cell	right	eol
1	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	0	eol
2	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	1	eol
3	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	1	eol
4	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	0	eol
5	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	1	eol
6	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	1	eol
7	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	1	eol
8	Z3.Three-FactorZCros2008	student102	META-DETERMINE-DXO	cell	1	eol
9	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	0	eol
10	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	0	eol
11	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	1	eol
12	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	1	eol
13	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	1	eol
14	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	1	eol
15	Z3.Three-FactorZCros2008	student103	META-DETERMINE-DXO	cell	1	eol
16	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	0	eol
17	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	0	eol
18	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	1	eol
19	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	1	eol
20	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	0	eol
21	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	0	eol
22	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	0	eol
23	Z3.Three-FactorZCros2008	student102	META-DETERMINE-MIDDLE-GENE	cell	0	eol
24	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	0	eol
25	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	0	eol
26	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	1	eol
27	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	0	eol
28	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	1	eol
29	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	1	eol
30	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	1	eol
31	Z3.Three-FactorZCros2008	student103	META-DETERMINE-MIDDLE-GENE	cell	1	eol
32	Z3.Three-FactorZCros2008	student106	META-DETERMINE-MIDDLE-GENE	cell	0	eol
33	Z3.Three-FactorZCros2008	student106	META-DETERMINE-MIDDLE-GENE	cell	0	eol
34	Z3.Three-FactorZCros2008	student106	META-DETERMINE-MIDDLE-GENE	cell	0	eol
35	Z3.Three-FactorZCros2008	student106	META-DETERMINE-MIDDLE-GENE	cell	0	eol
36	Z3.Three-FactorZCros2008	student106	META-DETERMINE-MIDDLE-GENE	cell	1	eol
